SK_ID_CURR,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
346770,Cash loans,F,N,Y,0,67500.0,173196.0,9054.0,153000.0,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,0.072508,-22645,365243,-11300.0,-3916,,1,0,0,1,1,0,,1.0,1,1,THURSDAY,12,0,0,0,0,0,0,XNA,,0.7351001802875171,0.6817058776720116,0.2412,0.1577,0.9841,0.7824,0.0,0.4,0.1724,0.4583,0.5,0.0,0.1967,0.2694,0.0,0.0129,0.2458,0.1637,0.9841,0.7909,0.0,0.4028,0.1724,0.4583,0.5,0.0,0.2149,0.2807,0.0,0.0137,0.2436,0.1577,0.9841,0.7853,0.0,0.4,0.1724,0.4583,0.5,0.0,0.2001,0.2742,0.0,0.0132,reg oper account,block of flats,0.2147,Panel,No,7.0,0.0,7.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0
245991,Cash loans,F,Y,Y,0,166500.0,492543.0,32197.5,445500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.035792000000000004,-17804,-1148,-5889.0,-1366,14.0,1,1,0,1,0,1,Sales staff,2.0,2,2,FRIDAY,12,0,0,0,1,1,0,Trade: type 3,0.3849942350491543,0.6982225347812013,0.13595104417329515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-344.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
366644,Cash loans,M,Y,N,0,103500.0,396850.5,19431.0,279000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.006207,-10433,-561,-9876.0,-3097,24.0,1,1,0,1,0,0,Laborers,1.0,2,2,TUESDAY,10,0,0,0,0,0,0,Self-employed,0.19780217859170585,0.5269166978752727,0.5762088360175724,0.0619,0.052000000000000005,0.9757,,,,0.1379,0.1667,,0.0453,,0.0465,,0.0023,0.063,0.054000000000000006,0.9757,,,,0.1379,0.1667,,0.0463,,0.0484,,0.0025,0.0625,0.052000000000000005,0.9757,,,,0.1379,0.1667,,0.0461,,0.0473,,0.0024,,,0.0386,Panel,No,1.0,0.0,1.0,0.0,-1468.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0
278520,Cash loans,F,N,Y,0,157500.0,715095.0,55471.5,675000.0,Family,Pensioner,Higher education,Married,House / apartment,0.025164,-22474,365243,-13357.0,-4778,,1,0,0,1,1,0,,2.0,2,2,TUESDAY,9,0,0,0,0,0,0,XNA,0.692535522871235,0.725761700036557,0.646329897706246,0.0959,0.0801,0.9811,0.7416,0.0142,0.0,0.2069,0.1667,0.2083,0.1205,0.0765,0.0923,0.0077,0.0144,0.0977,0.0831,0.9811,0.7517,0.0143,0.0,0.2069,0.1667,0.2083,0.1233,0.0836,0.0961,0.0078,0.0152,0.0968,0.0801,0.9811,0.7451,0.0142,0.0,0.2069,0.1667,0.2083,0.1226,0.0778,0.0939,0.0078,0.0147,org spec account,block of flats,0.0834,Panel,No,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
280042,Cash loans,M,N,Y,0,135000.0,284400.0,16456.5,225000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,Municipal apartment,0.005084,-21838,-2668,-5871.0,-4301,,1,1,1,1,1,0,High skill tech staff,2.0,2,2,MONDAY,9,0,0,0,0,0,0,Electricity,,0.6311521726579918,0.475849908720221,0.0856,0.0366,0.9916,,,0.08,0.069,0.4583,,,,0.0961,,0.0326,0.0872,0.038,0.9916,,,0.0806,0.069,0.4583,,,,0.1001,,0.0345,0.0864,0.0366,0.9916,,,0.08,0.069,0.4583,,,,0.0978,,0.0333,,block of flats,0.0826,"Stone, brick",No,0.0,0.0,0.0,0.0,-1074.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.0
326207,Cash loans,M,N,Y,0,135000.0,521280.0,26743.5,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.026392,-22537,-10641,-4689.0,-4697,,1,1,1,1,1,1,Laborers,2.0,2,2,THURSDAY,10,0,0,0,0,0,0,Medicine,,0.7778675457451404,0.4740512892789932,0.034,0.0616,0.9866,,,0.0,0.1034,0.0833,,,,0.0266,,0.0,0.0347,0.064,0.9866,,,0.0,0.1034,0.0833,,,,0.0278,,0.0,0.0344,0.0616,0.9866,,,0.0,0.1034,0.0833,,,,0.0271,,0.0,,block of flats,0.021,"Stone, brick",No,6.0,0.0,6.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
384646,Revolving loans,F,Y,Y,0,157500.0,450000.0,22500.0,450000.0,"Spouse, partner",Working,Higher education,Married,House / apartment,0.072508,-9426,-656,-3046.0,-10,9.0,1,1,0,1,1,0,,2.0,1,1,THURSDAY,19,0,0,0,0,0,0,Business Entity Type 3,0.6079109556014888,0.7568128969878987,,0.1361,0.0611,0.9821,0.7552,0.0589,0.192,0.1034,0.4333,0.475,0.0475,0.1099,0.1054,0.0046,0.013000000000000001,0.1166,0.0478,0.9821,0.7648,0.0594,0.1611,0.069,0.4583,0.5,0.0,0.10099999999999999,0.0586,0.0,0.0,0.1155,0.0461,0.9821,0.7585,0.0593,0.16,0.1034,0.4583,0.5,0.0,0.0941,0.0572,0.0039,0.0029,org spec account,block of flats,0.1834,"Stone, brick",No,1.0,0.0,1.0,0.0,-677.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
191046,Cash loans,M,Y,N,1,225000.0,1078200.0,38331.0,900000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.006670999999999999,-14094,-3150,-291.0,-3125,15.0,1,1,1,1,1,0,Managers,3.0,2,2,FRIDAY,10,0,0,0,0,1,1,Self-employed,0.4602274575756395,0.4728526687857656,0.7981372313187245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,1.0,0.0,-479.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
127822,Cash loans,F,N,Y,2,45000.0,562491.0,23962.5,454500.0,Family,Working,Secondary / secondary special,Married,House / apartment,0.006852,-13133,-3354,-2636.0,-4424,,1,1,1,1,0,0,Security staff,4.0,3,3,FRIDAY,7,0,0,0,0,1,1,School,0.20256874349095724,0.034338433690821,0.6658549219640212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0
333281,Cash loans,M,Y,N,0,112500.0,224136.0,17707.5,198000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.00496,-10733,-1402,-4711.0,-3010,12.0,1,1,0,1,1,0,Low-skill Laborers,1.0,2,2,THURSDAY,13,0,0,0,0,1,1,Self-employed,0.3538631894641888,0.13230187560821946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
378974,Cash loans,F,N,Y,0,36000.0,135000.0,7452.0,135000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.014519999999999996,-15876,-1199,-1506.0,-30,,1,1,1,1,1,0,Cleaning staff,2.0,2,2,SATURDAY,11,0,0,0,0,0,0,School,,0.1236937959329138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-102.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
322926,Cash loans,F,N,Y,0,315000.0,1293502.5,37948.5,1129500.0,Unaccompanied,Commercial associate,Higher education,Single / not married,House / apartment,0.032561,-16415,-588,-10550.0,-5462,,1,1,0,1,1,0,Sales staff,1.0,1,1,FRIDAY,15,0,0,0,0,0,0,Self-employed,,0.6757527582530596,0.41534714488434,0.2356,0.0988,0.9881,0.9252,,0.22,0.1552,0.4792,0.2917,0.015,0.1202,0.2578,0.0193,0.0345,0.1555,0.0,0.9821,0.9281,,0.2014,0.1379,0.3333,0.2917,0.0001,0.1313,0.2135,0.0195,0.0002,0.2378,0.0988,0.9881,0.9262,,0.22,0.1552,0.4792,0.2917,0.0153,0.1223,0.2384,0.0194,0.0352,org spec account,block of flats,0.1629,"Stone, brick",No,3.0,0.0,3.0,0.0,-341.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0,0.0,0.0,2.0
